"","X","bin","Aantal","per","Gemiddelde","sd","n","se","min","max","per_min","per_max","y_Juist","y_Min","y_Plus"
"1",1,1,543,8.95005768913796,552.751,19.0854723351101,1000,0.603535627990804,482,608,7.94461842755893,10.0214273940992,9.28132188092733,8.3118749812715,10.3152741277915
"2",2,2,773,12.7410581836163,758.825,20.9181247472842,1000,0.661489185809521,698,826,11.5048623701994,13.6146365584309,12.8028177167495,11.2435980834943,13.6332053077168
"3",3,3,944,15.5595846382067,897.249,24.0950112796937,1000,0.761951158912806,805,979,13.2685017306741,16.1364760178012,14.4962778942679,12.6733820706178,15.2529315716766
"4",4,4,927,15.2793802538322,887.885,23.2413410743643,1000,0.734955736718161,803,967,13.235536508983,15.9386846876545,14.4514059504775,12.6560473367552,15.2489656602239
"5",5,5,753,12.4114059667051,736.949,21.3567438882782,1000,0.675359540918398,667,810,10.9939014339871,13.3509147849019,12.3730183962289,10.9914679728856,13.3764582658304
"6",6,6,519,8.55447502884457,545.157,18.0919780751213,1000,0.572118580952123,489,603,8.05999670347783,9.93901433987144,9.13348713000481,8.30583649008786,10.3299186609105
"7",7,7,387,6.37877039723092,397.274,15.9578688294389,1000,0.504632121032319,348,460,5.73594857425416,7.58200098895665,6.44510949596503,5.8384765350918,7.55344700994486
"8",8,8,295,4.86237019943959,294.167,13.4742222657067,1000,0.426092320589876,248,336,4.08768748969837,5.53815724410747,4.56717662229253,4.02524310401385,5.45649167521019
"9",9,9,201,3.31300477995715,214.039,11.7636670669848,1000,0.371999815675845,181,248,2.98335256304599,4.08768748969837,3.30176059734035,2.90373535598553,4.11767636358373
"10",10,10,158,2.60425251359815,182.212,11.0362518481074,1000,0.348996926712621,145,213,2.3899785726059,3.51079611010384,3.08240509340011,2.72948486265094,3.89869129196007
"11",11,11,214,3.5272787209494,235.42,12.1566189124848,1000,0.384426044101311,196,270,3.23059172572936,4.45030492830064,3.81383327318236,3.43034240699947,4.70669607545892
"12",12,12,353,5.81836162848195,365.072,15.0120010716818,1000,0.474721156234032,317,414,5.22498763804187,6.82380089006099,5.52477531747013,5.02386336117783,6.56695231287892
